"collarid","hole_id","distance","dip","azimuth"
1,ARC-043,0.0,-90.0,0.0
1,ARC-043,100.0,-90.0,0.0
2,ARC-046,0.0,-90.0,0.0
3,BHD-001,0.0,-55.0,90.0
3,BHD-001,102.0,-56.0,94.0
4,BHD-002,0.0,-60.0,75.0
4,BHD-002,119.0,-59.0,72.0
5,BHD-003,0.0,-55.0,180.0
5,BHD-003,100.0,-56.0,179.0
6,BHP-007,0.0,-65.0,60.0
6,BHP-007,174.0,-65.0,60.0
7,BHP-008,0.0,-65.0,90.0
8,BHP-008-A,0.0,-65.0,90.0
9,BHP-009,0.0,-90.0,0.0
10,BLDD001,0.0,-90.0,0.0
11,BLDD002,0.0,-90.0,0.0
12,BLDD003GT,0.0,-90.0,0.0
13,BLDD004,0.0,-90.0,0.0
14,BLDD005,0.0,-90.0,0.0
15,BLDD006,0.0,-90.0,0.0
15,BLDD006,25.0,-88.0,265.0
15,BLDD006,75.0,-89.0,170.0
16,BLDD007,0.0,-90.0,0.0
17,BLDD008,0.0,-90.0,0.0
18,BLDD009,0.0,-90.0,0.0
19,BLDD010,0.0,-90.0,0.0
20,DHGT_01,0.0,-90.0,0.0
20,DHGT_01,15.0,-89.7,115.5
20,DHGT_01,30.0,-89.7,294.5
20,DHGT_01,60.0,-89.4,185.3
20,DHGT_01,90.0,-89.8,296.3
20,DHGT_01,120.0,-89.4,261.7
20,DHGT_01,150.0,-89.6,11.8
21,DHGT_02,0.0,-90.0,0.0
21,DHGT_02,15.0,-89.7,349.0
21,DHGT_02,30.0,-89.5,355.8
21,DHGT_02,60.0,-89.5,3.7
21,DHGT_02,90.0,-89.8,333.9
22,DHGT_03,0.0,-90.0,0.0
22,DHGT_03,15.0,-89.8,104.7
22,DHGT_03,30.0,-89.5,38.4
22,DHGT_03,60.0,-89.6,59.5
22,DHGT_03,80.0,-89.1,111.8
22,DHGT_03,86.0,-89.9,112.4
23,DHGT_05,0.0,-90.0,0.0
23,DHGT_05,15.0,-89.8,67.2
23,DHGT_05,30.0,-89.7,268.1
23,DHGT_05,60.0,-89.7,152.8
23,DHGT_05,80.0,-89.6,319.8
24,DHGT_06,0.0,-90.0,0.0
24,DHGT_06,15.0,-89.4,194.0
24,DHGT_06,30.0,-89.6,209.1
24,DHGT_06,60.0,-89.5,209.4
24,DHGT_06,90.0,-89.8,251.0
24,DHGT_06,120.0,-89.8,95.5
25,HFD-020,0.0,-90.0,360.0
26,HFD-021,0.0,-90.0,360.0
27,HFD-022,0.0,-90.0,360.0
28,HFD-023,0.0,-90.0,360.0
29,HFD-024,0.0,-90.0,360.0
30,HFD-032,0.0,-90.0,360.0
31,HFD-033,0.0,-60.0,345.0
32,HFD-038,0.0,-65.0,40.0
33,HFD-039,0.0,-90.0,360.0
34,HFD-040,0.0,-90.0,360.0
35,HFD-041,0.0,-50.0,360.0
36,HFD-045,0.0,-55.0,160.0
37,HFD-046,0.0,-50.0,160.0
38,HFD-047,0.0,-90.0,360.0
39,HFD-048,0.0,-55.0,180.0
40,HFD-053,0.0,-55.0,180.0
41,HFD-054,0.0,-55.0,340.0
42,HFD-055,0.0,-55.0,70.0
43,HFD-056,0.0,-90.0,360.0
44,HFD-060,0.0,-90.0,360.0
45,HFD-068,0.0,-90.0,360.0
45,HFD-068,167.0,-89.0,330.0
46,HFD-154,0.0,-89.0,360.0
46,HFD-154,87.4,-88.5,180.0
46,HFD-154,129.2,-88.0,200.0
46,HFD-154,171.4,-88.0,153.0
47,HFD-228,0.0,-90.0,0.0
48,HFD-229,0.0,-90.0,0.0
49,HFP-251,0.0,-70.0,0.0
49,HFP-251,30.0,-68.0,355.0
49,HFP-251,70.0,-68.0,357.0
49,HFP-251,120.0,-69.0,357.0
49,HFP-251,180.0,-69.5,358.0
49,HFP-251,240.0,-70.0,358.0
49,HFP-251,300.0,-70.0,358.0
50,HFP-276,0.0,-90.0,0.0
51,HFP-277,0.0,-90.0,0.0
52,HFP-278,0.0,-70.0,270.0
52,HFP-278,88.0,-70.5,270.0
53,HFP-279,0.0,-90.0,0.0
54,HFP-280,0.0,-90.0,0.0
55,HFP-281,0.0,-70.0,270.0
55,HFP-281,61.0,-72.0,270.0
56,HFP-287,0.0,-90.0,0.0
57,HFR-178,0.0,-90.0,0.0
58,HFR-179,0.0,-90.0,0.0
59,HFR-180,0.0,-90.0,0.0
60,LHD-001,0.0,-90.0,0.0
61,LHD-002,0.0,-90.0,0.0
62,LHD-003,0.0,-90.0,0.0
63,LHD-004,0.0,-90.0,0.0
64,LHD-005,0.0,-90.0,0.0
65,LHD-006,0.0,-90.0,0.0
66,LHD-007,0.0,-90.0,0.0
67,LHD-008,0.0,-90.0,0.0
68,LHD-009,0.0,-90.0,0.0
69,LHD-010,0.0,-90.0,0.0
70,LHD-011,0.0,-90.0,0.0
71,LHD-012,0.0,-55.0,360.0
71,LHD-012,96.0,-55.0,0.5
72,LHD-013,0.0,-55.0,360.0
72,LHD-013,100.5,-56.5,359.5
73,LHD-014,0.0,-55.0,360.0
73,LHD-014,100.0,-55.0,360.0
74,LHD-015,0.0,-90.0,0.0
75,LHD-016,0.0,-90.0,0.0
76,LHD-017,0.0,-90.0,0.0
77,LHD-018,0.0,-90.0,0.0
78,LHD-019,0.0,-90.0,0.0
79,LHD-020,0.0,-90.0,0.0
80,LHD-021,0.0,-90.0,0.0
81,LHD-022,0.0,-90.0,0.0
82,LHD-023,0.0,-90.0,0.0
83,LHD-024,0.0,-75.0,180.0
84,LHD-025,0.0,-80.0,90.0
